,technology,location,capacity_type,technology_existing,scenario_
85,ASU,DK03,powerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpower,378,0.0
86,ASU,DK04,powerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpower,378,0.0
87,ASU,DK05,powerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpower,378,0.0
88,ASU,EE00,powerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpower,378,0.0197397774978432
89,ASU,EL30,powerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpower,378,0.0
90,ASU,EL41,powerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpower,378,0.0
91,ASU,EL42,powerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpower,378,0.0
92,ASU,EL43,powerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpower,378,0.0
93,ASU,EL51,powerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpower,378,0.0
94,ASU,EL52,powerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpower,378,0.0
95,ASU,EL53,powerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpower,378,0.0
96,ASU,EL54,powerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpower,378,0.0
97,ASU,EL61,powerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpower,378,0.0
98,ASU,EL62,powerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpower,378,0.0
99,ASU,EL63,powerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpower,378,0.0
100,ASU,EL64,powerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpower,378,0.016285316435721203
101,ASU,EL65,powerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpower,378,0.0
102,ASU,ES11,powerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpower,378,0.0
103,ASU,ES12,powerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpower,378,0.0197397774978432
104,ASU,ES13,powerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpower,378,0.0
105,ASU,ES21,powerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpower,378,0.0
106,ASU,ES22,powerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpower,378,0.0
107,ASU,ES23,powerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpower,378,0.0
